name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Provincia di Genova,01/05/2021 10:00:00 AM,,nord,57,broken clouds,1010,68,287.67,0.11,0.0,181,1.72
Bologna,01/05/2021 10:00:00 AM,,nord,100,overcast clouds,1011,76,290.23,0.0,0.0,89,0.93
Potenza,01/05/2021 10:00:00 AM,,sud,100,overcast clouds,1012,63,292.31,0.0,0.0,246,4.45
Catanzaro,01/05/2021 10:00:00 AM,,calabria,97,overcast clouds,1014,48,298.88,0.0,0.0,219,1.05
Milan,01/05/2021 10:00:00 AM,,nord,88,light rain,1010,80,288.98,0.42,0.0,172,1.4
Venice,01/05/2021 10:00:00 AM,,nord,100,overcast clouds,1010,84,289.83,0.31,0.0,67,3.97
Trento,01/05/2021 10:00:00 AM,,nord,65,broken clouds,1010,76,290.42,0.12,0.0,74,0.38
Province of Turin,01/05/2021 10:00:00 AM,,nord,98,overcast clouds,1011,86,282.79,0.0,0.0,29,0.6
Naples,01/05/2021 10:00:00 AM,,sud,100,light rain,1013,74,291.47,0.48,0.0,85,2.28
Rome,01/05/2021 10:00:00 AM,,centro_sud,100,overcast clouds,1013,70,291.07,0.0,0.0,180,3.99
Provincia di Perugia,01/05/2021 10:00:00 AM,,centro_nord,100,overcast clouds,1011,79,290.11,0.0,0.0,201,1.13
Sardinia,01/05/2021 10:00:00 AM,,sardegna,100,overcast clouds,1010,80,289.59,0.13,0.0,185,2.09
Provincia di Perugia,01/05/2021 11:00:00 AM,,centro_nord,100,overcast clouds,1011,74,291.09,0.0,0.0,196,2.39
Province of Palermo,01/05/2021 11:00:00 AM,,sicilia,100,overcast clouds,1011,46,296.71,0.0,0.0,36,2.61
Bari,01/05/2021 11:00:00 AM,,sud,100,overcast clouds,1012,64,292.84,0.0,0.0,170,2.19
Venice,01/05/2021 11:00:00 AM,,nord,100,overcast clouds,1011,82,290.38,0.31,0.0,94,3.32
Province of Turin,01/05/2021 11:00:00 AM,,nord,99,overcast clouds,1010,83,283.67,0.0,0.0,107,1.51
Rome,01/05/2021 11:00:00 AM,,centro_sud,100,light rain,1012,82,289.34,0.38,0.0,138,5.92
Trieste,01/05/2021 11:00:00 AM,,nord,100,light rain,1011,72,292.35,0.14,0.0,207,1.68
Milan,01/05/2021 11:00:00 AM,,nord,92,light rain,1010,75,290.12,0.33,0.0,135,1.46
Provincia di Ancona,01/05/2021 11:00:00 AM,,centro_nord,100,overcast clouds,1010,77,290.4,0.0,0.0,332,1.21
