name,date,cross_join,region,clouds,text_description,pressure,humidity,temp,rain_1h,snow_1h,wind_deg,wind_speed
Rome,27/04/2021 00:41:31 AM,26/04/2021 22:45 PM,centro_sud,0,clear sky,1009,54,14.5,0,0,200,1.54
L'Aquila,27/04/2021 00:45:12 AM,26/04/2021 22:45 PM,centro_sud,99,overcast clouds,1013,52,8.5,0,0,70,1.54
Rome,27/04/2021 00:41:31 AM,26/04/2021 22:45 PM,centro_sud,0,clear sky,1009,54,14.5,0,0,200,1.54
Provincia di Campobasso,27/04/2021 00:45:12 AM,26/04/2021 22:45 PM,centro_sud,100,overcast clouds,1008,76,9.96,0,0,239,1.96
Naples,27/04/2021 00:40:52 AM,26/04/2021 22:45 PM,sud,0,clear sky,1009,59,17.04,0,0,360,1.54
Bari,27/04/2021 00:45:13 AM,26/04/2021 22:45 PM,sud,0,clear sky,1010,63,15.82,0,0,160,3.6
Potenza,27/04/2021 00:45:13 AM,26/04/2021 22:45 PM,sud,91,overcast clouds,1013,82,8.33,0,0,90,0.45
Province of Palermo,27/04/2021 00:45:13 AM,26/04/2021 22:45 PM,sicilia,99,overcast clouds,973,77,15.9,0,0,160,3.66
Sardinia,27/04/2021 00:45:13 AM,26/04/2021 22:45 PM,sardegna,90,overcast clouds,1006,94,16.0,0,0,240,1.54
Catanzaro,27/04/2021 00:45:14 AM,26/04/2021 22:45 PM,calabria,86,overcast clouds,1010,82,12.88,0,0,80,9.26
